pair;participant;trial;trial_id;story_id;target;correct_target;icon;index;prop;
pair24;p50;14;14;ep2;chair;1;0;1;1;
pair24;p49;15;10;ed2;sofa;1;1;0;0;
pair24;p50;16;1;cd1;house;0;1;0;0;
pair25;p51;1;6;cp2;basement;0;1;0;0;
pair25;p52;2;16;ep4;painting;1;1;0;0;
pair25;p51;3;12;ed4;carpet;1;1;0;0;
pair25;p52;4;3;cd3;mountains;1;1;0;0;
pair25;p51;5;7;cp3;laboratory;1;1;1;0;
pair25;p52;6;10;ed2;sofa;0;1;1;1;
pair25;p51;7;13;ep1;window;1;1;1;0;
pair25;p52;8;1;cd1;house;0;1;0;0;
pair25;p51;9;5;cp1;room;0;1;1;0;
pair25;p52;10;11;ed3;tree;0;1;0;0;
pair25;p51;11;14;ep2;chair;1;1;0;0;
pair25;p52;12;4;cd4;countryside;0;1;0;0;
pair25;p51;13;8;cp4;city;1;1;0;0;
pair25;p52;14;15;ep3;coathanger;1;0;1;1;
pair25;p51;15;9;ed1;stairs;0;1;0;0;
pair25;p52;16;2;cd2;attic;0;1;1;0;
pair26;p53;1;7;cp3;laboratory;0;0;0;0;
pair26;p54;2;9;ed1;stairs;0;1;0;0;
pair26;p53;3;14;ep2;chair;0;1;0;0;
pair26;p54;4;4;cd4;countryside;0;1;0;0;
pair26;p53;5;8;cp4;city;0;1;1;0;
pair26;p54;6;11;ed3;tree;0;1;0;0;
pair26;p53;7;15;ep3;coathanger;1;1;0;0;
pair26;p54;8;2;cd2;attic;0;1;0;0;
pair26;p53;9;6;cp2;basement;1;1;0;0;
pair26;p54;10;12;ed4;carpet;0;1;0;0;
pair26;p53;11;13;ep1;window;1;1;1;0;
pair26;p54;12;1;cd1;house;0;1;0;0;
pair26;p53;13;5;cp1;room;1;1;0;0;
pair26;p54;14;16;ep4;painting;1;1;0;0;
pair26;p53;15;10;ed2;sofa;0;1;0;0;
pair26;p54;16;3;cd3;mountains;1;1;1;0;
pair27;p55;1;8;cp4;city;0;0;0;0;
pair27;p56;2;10;ed2;sofa;1;1;1;1;
pair27;p55;3;13;ep1;window;1;0;1;1;
pair27;p56;4;1;cd1;house;0;1;0;0;
pair27;p55;5;5;cp1;room;1;0;1;1;
pair27;p56;6;12;ed4;carpet;0;1;1;0;
pair27;p55;7;16;ep4;painting;1;0;1;1;
pair27;p56;8;3;cd3;mountains;1;1;1;0;
pair27;p55;9;7;cp3;laboratory;1;1;1;0;
pair27;p56;10;11;ed3;tree;0;0;0;0;
pair27;p55;11;15;ep3;coathanger;1;0;1;1;
pair27;p56;12;2;cd2;attic;0;0;0;0;
pair27;p55;13;6;cp2;basement;0;1;0;0;
pair27;p56;14;14;ep2;chair;1;0;1;1;
pair27;p55;15;9;ed1;stairs;0;1;0;0;
pair27;p56;16;4;cd4;countryside;0;1;0;0;
pair28;p57;1;1;cd1;house;0;1;0;0;
pair28;p58;2;8;cp4;city;0;0;0;0;
pair28;p57;3;16;ep4;painting;1;1;0;0;
pair28;p58;4;10;ed2;sofa;0;0;1;1;
pair28;p57;5;2;cd2;attic;0;1;1;0;
pair28;p58;6;7;cp3;laboratory;0;1;0;0;
pair28;p57;7;14;ep2;chair;1;1;1;0;
pair28;p58;8;11;ed3;tree;0;1;0;0;
pair28;p57;9;4;cd4;countryside;0;1;0;0;
pair28;p58;10;5;cp1;room;0;0;0;0;
pair28;p57;11;13;ep1;window;1;1;1;0;
pair28;p58;12;12;ed4;carpet;0;1;0;0;
pair28;p57;13;3;cd3;mountains;1;1;0;0;
pair28;p58;14;6;cp2;basement;1;1;0;0;
pair28;p57;15;15;ep3;coathanger;1;0;1;1;
pair28;p58;16;9;ed1;stairs;1;1;0;0;
pair29;p59;1;2;cd2;attic;0;1;0;0;
pair29;p60;2;14;ep2;chair;0;1;0;0;
pair29;p59;3;5;cp1;room;0;0;0;0;
pair29;p60;4;11;ed3;tree;0;1;1;1;
pair29;p59;5;3;cd3;mountains;0;1;0;0;
pair29;p60;6;8;cp4;city;0;0;0;0;
pair29;p59;7;15;ep3;coathanger;1;0;1;1;
pair29;p60;8;9;ed1;stairs;1;1;0;0;
pair29;p59;9;1;cd1;house;0;1;1;0;
pair29;p60;10;6;cp2;basement;1;1;1;0;
pair29;p59;11;16;ep4;painting;1;0;1;1;
pair29;p60;12;10;ed2;sofa;1;1;1;1;
pair29;p59;13;4;cd4;countryside;0;1;0;0;
pair29;p60;14;7;cp3;laboratory;0;1;1;1;
pair29;p59;15;13;ep1;window;1;1;1;0;
pair29;p60;16;12;ed4;carpet;0;1;1;0;
