pair,participant,trial,trial_id,story_id,target,correct_target,icon,index,prop,size,distance,item_num,producer,guesser,strategy_combo
11,1,11,13,ep1,window,0,1,0,0,element,proximate,1,11_1,11_2,icon_only
11,2,12,9,ed1,stairs,1,1,0,0,element,displaced,1,11_2,11_1,icon_only
11,1,13,8,cp4,city,1,1,0,0,complete,proximate,4,11_1,11_2,icon_only
11,2,14,11,ed3,tree,1,1,0,0,element,displaced,3,11_2,11_1,icon_only
11,1,15,12,ed4,carpet,1,1,0,0,element,displaced,4,11_1,11_2,icon_only
11,2,16,2,cd2,attic,1,1,1,0,complete,displaced,2,11_2,11_1,both
12,1,1,6,cp2,basement,1,0,1,0,complete,proximate,2,12_1,12_2,index_only
12,2,2,11,ed3,tree,0,0,1,1,element,displaced,3,12_2,12_1,index_only
12,1,3,7,cp3,laboratory,1,0,1,0,complete,proximate,3,12_1,12_2,index_only
12,2,4,3,cd3,mountains,0,1,0,0,complete,displaced,3,12_2,12_1,icon_only
12,1,5,4,cd4,countryside,1,1,0,0,complete,displaced,4,12_1,12_2,icon_only
12,2,6,2,cd2,attic,0,1,0,0,complete,displaced,2,12_2,12_1,icon_only
12,1,7,15,ep3,coathanger,1,0,1,0,element,proximate,3,12_1,12_2,index_only
12,2,8,12,ed4,carpet,1,1,0,0,element,displaced,4,12_2,12_1,icon_only
12,1,9,16,ep4,painting,1,0,1,1,element,proximate,4,12_1,12_2,index_only
12,2,10,13,ep1,window,1,1,0,0,element,proximate,1,12_2,12_1,icon_only
12,1,11,8,cp4,city,1,1,0,0,complete,proximate,4,12_1,12_2,icon_only
12,2,12,9,ed1,stairs,0,1,0,0,element,displaced,1,12_2,12_1,icon_only
12,1,13,1,cd1,house,1,1,0,0,complete,displaced,1,12_1,12_2,icon_only
12,2,14,10,ed2,sofa,1,1,0,1,element,displaced,2,12_2,12_1,icon_only
12,1,15,5,cp1,room,1,1,0,1,complete,proximate,1,12_1,12_2,icon_only
12,2,16,14,ep2,chair,0,0,1,0,element,proximate,2,12_2,12_1,index_only
13,1,1,6,cp2,basement,1,1,0,0,complete,proximate,2,13_1,13_2,icon_only
13,2,2,4,cd4,countryside,1,0,1,0,complete,displaced,4,13_2,13_1,index_only
13,1,3,14,ep2,chair,0,0,1,0,element,proximate,2,13_1,13_2,index_only
13,2,4,16,ep4,painting,1,0,1,0,element,proximate,4,13_2,13_1,index_only
13,1,5,2,cd2,attic,1,1,0,1,complete,displaced,2,13_1,13_2,icon_only
13,2,6,12,ed4,carpet,1,1,0,0,element,displaced,4,13_2,13_1,icon_only
13,1,7,11,ed3,tree,1,1,1,0,element,displaced,3,13_1,13_2,both
13,2,8,9,ed1,stairs,0,1,0,0,element,displaced,1,13_2,13_1,icon_only
13,1,9,8,cp4,city,1,0,1,0,complete,proximate,4,13_1,13_2,index_only
13,2,10,1,cd1,house,0,1,0,0,complete,displaced,1,13_2,13_1,icon_only
13,1,11,3,cd3,mountains,1,0,1,0,complete,displaced,3,13_1,13_2,index_only
13,2,12,10,ed2,sofa,0,1,0,0,element,displaced,2,13_2,13_1,icon_only
13,1,13,7,cp3,laboratory,1,0,1,0,complete,proximate,3,13_1,13_2,index_only
13,2,14,15,ep3,coathanger,1,0,1,1,element,proximate,3,13_2,13_1,index_only
13,1,15,5,cp1,room,0,0,1,0,complete,proximate,1,13_1,13_2,index_only
13,2,16,13,ep1,window,0,0,1,0,element,proximate,1,13_2,13_1,index_only
14,1,1,9,ed1,stairs,1,1,1,1,element,displaced,1,14_1,14_2,both
14,2,2,7,cp3,laboratory,0,0,1,0,complete,proximate,3,14_2,14_1,index_only
14,1,3,13,ep1,window,1,1,0,0,element,proximate,1,14_1,14_2,icon_only
14,2,4,14,ep2,chair,1,1,0,0,element,proximate,2,14_2,14_1,icon_only
14,1,5,8,cp4,city,1,1,0,0,complete,proximate,4,14_1,14_2,icon_only
14,2,6,10,ed2,sofa,0,1,0,0,element,displaced,2,14_2,14_1,icon_only
14,1,7,11,ed3,tree,0,0,1,0,element,displaced,3,14_1,14_2,index_only
14,2,8,12,ed4,carpet,1,1,0,0,element,displaced,4,14_2,14_1,icon_only
14,1,9,2,cd2,attic,1,1,0,0,complete,displaced,2,14_1,14_2,icon_only
14,2,10,4,cd4,countryside,0,0,1,0,complete,displaced,4,14_2,14_1,index_only
14,1,11,6,cp2,basement,1,1,0,1,complete,proximate,2,14_1,14_2,icon_only
14,2,12,1,cd1,house,1,1,1,0,complete,displaced,1,14_2,14_1,both
14,1,13,15,ep3,coathanger,0,1,1,0,element,proximate,3,14_1,14_2,both
14,2,14,5,cp1,room,0,1,0,0,complete,proximate,1,14_2,14_1,icon_only
14,1,15,16,ep4,painting,1,0,1,0,element,proximate,4,14_1,14_2,index_only
14,2,16,3,cd3,mountains,0,1,0,0,complete,displaced,3,14_2,14_1,icon_only
15,1,1,5,cp1,room,0,1,0,0,complete,proximate,1,15_1,15_2,icon_only
15,2,2,1,cd1,house,0,1,0,1,complete,displaced,1,15_2,15_1,icon_only
15,1,3,2,cd2,attic,1,1,0,0,complete,displaced,2,15_1,15_2,icon_only
15,2,4,6,cp2,basement,0,1,1,0,complete,proximate,2,15_2,15_1,both
15,1,5,13,ep1,window,0,1,1,0,element,proximate,1,15_1,15_2,both
15,2,6,3,cd3,mountains,1,1,0,0,complete,displaced,3,15_2,15_1,icon_only
15,1,7,16,ep4,painting,1,1,0,0,element,proximate,4,15_1,15_2,icon_only
15,2,8,11,ed3,tree,1,0,0,1,element,displaced,3,15_2,15_1,neither
15,1,9,4,cd4,countryside,0,1,0,0,complete,displaced,4,15_1,15_2,icon_only
